Strategy report
Symbol: /YM:XCBT
Work Time: 11/6/18 4:00 AM - 3/19/19 3:30 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BB_Auto_Reversion_V2;Buy to Open;1;5.0;$25,428.00;11/6/18 4:00 AM;;($5.00);5.0;
2;BB_Auto_Reversion_V2;Sell to Close;-1;-5.0;$25,405.00;11/6/18 5:00 AM;($114.00);($114.00);0.0;
3;BB_Auto_Reversion_V2;Buy to Open;1;5.0;$25,392.00;11/6/18 5:30 AM;;($64.00);5.0;
4;BB_Auto_Reversion_V2;Sell to Close;-1;-5.0;$25,430.00;11/6/18 9:15 AM;$191.76;$77.76;0.0;
5;BB_Auto_Reversion_V2;Buy to Open;1;5.0;$25,453.00;11/6/18 2:30 PM;;$212.76;5.0;
6;BB_Auto_Reversion_V2;Sell to Close;-1;-5.0;$25,612.00;11/6/18 4:30 PM;$795.40;$873.16;0.0;
7;BB_Auto_Reversion_V2;Buy to Open;1;5.0;$25,660.00;11/7/18 1:15 AM;;$838.16;5.0;
8;BB_Auto_Reversion_V2;Sell to Close;-1;-5.0;$25,755.00;11/7/18 3:30 AM;$477.37;$1,350.53;0.0;
9;BB_Auto_Reversion_V2;Buy to Open;1;5.0;$25,810.00;11/7/18 9:30 AM;;$1,350.53;5.0;
10;BB_Auto_Reversion_V2;Sell to Close;-1;-5.0;$25,775.00;11/7/18 10:00 AM;($175.25);$1,175.28;0.0;
11;BB_Auto_Reversion_V2;Buy to Open;1;5.0;$25,783.00;11/7/18 10:15 AM;;$1,185.28;5.0;
12;BB_Auto_Reversion_V2;Sell to Close;-1;-5.0;$25,849.00;11/7/18 10:45 AM;$330.04;$1,505.31;0.0;
13;BB_Auto_Reversion_V2;Buy to Open;1;5.0;$26,113.00;11/8/18 5:30 AM;;$1,430.31;5.0;
14;BB_Auto_Reversion_V2;Sell to Close;-1;-5.0;$26,151.00;11/8/18 9:45 AM;$189.45;$1,694.77;0.0;
15;BB_Auto_Reversion_V2;Buy to Open;1;5.0;$26,119.00;11/8/18 3:00 PM;;$1,749.77;5.0;
16;BB_Auto_Reversion_V2;Sell to Close;-1;-5.0;$26,221.00;11/8/18 11:45 PM;$511.62;$2,206.39;0.0;
17;BB_Auto_Reversion_V2;Buy to Open;1;5.0;$26,136.00;11/9/18 3:00 AM;;$2,106.39;5.0;
