Strategy report
Symbol: /YM:XCBT
Work Time: 11/6/18 4:00 AM - 3/19/19 3:30 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$25,428.00;11/6/18 4:00 AM;;($5.00);5.0;
2;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$25,414.00;11/6/18 9:15 AM;($68.25);($68.25);0.0;
3;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$25,453.00;11/6/18 2:30 PM;;$66.75;5.0;
4;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$25,560.00;11/6/18 4:00 PM;$536.74;$468.50;0.0;
5;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$25,660.00;11/7/18 1:15 AM;;$433.50;5.0;
6;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$25,716.00;11/7/18 3:15 AM;$279.61;$748.11;0.0;
7;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$25,810.00;11/7/18 9:30 AM;;$748.11;5.0;
8;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$25,829.00;11/7/18 9:45 AM;$96.75;$844.86;0.0;
9;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$25,783.00;11/7/18 10:15 AM;;$854.86;5.0;
10;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$25,824.00;11/7/18 10:45 AM;$206.27;$1,051.13;0.0;
11;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$26,113.00;11/8/18 5:30 AM;;$976.13;5.0;
12;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$26,155.00;11/8/18 8:30 AM;$208.18;$1,259.31;0.0;
13;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$26,119.00;11/8/18 3:00 PM;;$1,314.31;5.0;
14;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$26,202.00;11/8/18 7:15 PM;$413.26;$1,672.57;0.0;
15;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$26,168.00;11/8/18 10:45 PM;;$1,692.57;5.0;
16;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$26,202.00;11/8/18 11:45 PM;$169.94;$1,842.51;0.0;
17;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$26,136.00;11/9/18 3:00 AM;;$1,742.51;5.0;
18;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$26,098.00;11/9/18 9:45 AM;($190.35);$1,652.16;0.0;
19;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$26,036.00;11/9/18 10:00 AM;;$1,507.16;5.0;
20;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$25,936.00;11/9/18 12:15 PM;($500.00);$1,152.16;0.0;
21;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$25,936.00;11/9/18 12:30 PM;;$1,317.16;5.0;
22;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$26,003.00;11/9/18 3:15 PM;$336.32;$1,488.48;0.0;
23;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$26,032.00;11/12/18 2:15 AM;;$1,448.48;5.0;
24;BB_Auto_Reversion_V1_2;Sell to Close;-1;-5.0;$25,932.00;11/12/18 5:15 AM;($500.00);$988.48;0.0;
25;BB_Auto_Reversion_V1_2;Buy to Open;1;5.0;$25,555.00;11/12/18 11:45 AM;;$1,103.48;5.0;
