Strategy report
Symbol: /ES:XCME
Work Time: 2/4/19 1:15 AM - 3/19/19 1:00 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,705.25;2/4/19 1:15 AM;;($37.50);50.0;
2;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,705.62;2/4/19 3:15 AM;$18.71;$18.71;0.0;
3;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,703.75;2/4/19 3:30 AM;;($6.29);50.0;
4;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,705.09;2/4/19 4:15 AM;$66.76;$85.47;0.0;
5;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,703.00;2/4/19 8:45 AM;;$110.47;50.0;
6;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,706.69;2/4/19 10:00 AM;$184.35;$269.81;0.0;
7;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,703.75;2/4/19 10:15 AM;;$82.31;50.0;
8;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,706.43;2/4/19 11:15 AM;$133.99;$403.81;0.0;
9;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,724.25;2/5/19 1:00 PM;;$391.31;50.0;
10;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,733.31;2/5/19 2:15 PM;$452.97;$856.78;0.0;
11;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,733.00;2/5/19 8:45 PM;;$919.28;50.0;
12;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,734.12;2/5/19 9:00 PM;$55.81;$912.59;0.0;
13;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,731.75;2/5/19 11:15 PM;;$950.09;50.0;
14;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,733.27;2/6/19 2:00 AM;$75.89;$988.48;0.0;
15;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,727.75;2/6/19 3:15 AM;;$988.48;50.0;
16;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,729.96;2/6/19 6:15 AM;$110.56;$1,099.04;0.0;
17;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,726.00;2/6/19 10:30 AM;;$1,324.04;50.0;
18;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,732.07;2/6/19 11:00 AM;$303.57;$1,402.61;0.0;
19;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,727.50;2/6/19 2:45 PM;;$1,490.11;50.0;
20;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,731.89;2/6/19 4:00 PM;$219.32;$1,621.93;0.0;
21;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,727.50;2/6/19 6:15 PM;;$1,634.43;50.0;
22;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,724.45;2/7/19 4:00 AM;($152.70);$1,469.22;0.0;
23;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,713.00;2/7/19 6:45 AM;;$1,419.22;50.0;
24;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,714.95;2/7/19 10:30 AM;$97.61;$1,566.84;0.0;
25;BB_Auto_Reversion_V1_1;Buy to Open;1;50.0;$2,691.25;2/7/19 12:15 PM;;$1,604.34;50.0;
26;BB_Auto_Reversion_V1_1;Sell to Close;-1;-50.0;$2,698.48;2/7/19 3:45 PM;$361.42;$1,928.25;0.0;
